Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Province,Island,Special Status,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
03/11/2020,DKI Jakarta,0,0,0,0,45,24,41,-20,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0,4.15,0,2.21,0.5333,0.9111,1,1
03/11/2020,Indonesia,7,1,0,6,34,1,2,31,,,,98,7230,8488,74953,1916907,265185520,138.34,0.03,0.13,0,0,0.0294,0.0588,0.88,
03/11/2020,Jawa Barat,0,1,0,-1,4,2,8,-6,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0,0.09,0.02,0.04,0.5,2,1,
03/11/2020,Jawa Tengah,2,1,1,0,3,9,9,-15,Jawa Tengah,Jawa,,6,576,753,7809,32801,36364072,1108.64,0.05,0.08,0.03,0.25,3,3,,
03/11/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
03/11/2020,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Sulawesi Tenggara,Sulawesi,,2,219,377,1911,38068,2635461,69.23,0,0.38,0,0,0,0,0,1
03/12/2020,Bali,0,0,0,0,1,1,3,-3,Bali,Nusa Tenggara,,1,57,80,636,5780,4216171,729.43,0,0.24,0,0.24,1,3,0,0
03/12/2020,Banten,0,1,2,-3,2,6,95,-99,Banten,Jawa,,4,155,313,1238,9663,10722374,1109.64,0,0.19,0.09,0.56,3,47.5,1,
03/12/2020,DKI Jakarta,2,1,4,-3,47,25,45,-23,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0.18,4.33,0.09,2.3,0.5319,0.9574,,
03/12/2020,Indonesia,0,0,0,0,34,1,2,31,,,,98,7230,8488,74953,1916907,265185520,138.34,0,0.13,0,0,0.0294,0.0588,0,0
03/12/2020,Jawa Barat,1,0,0,1,5,2,8,-5,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0.02,0.11,0,0.04,0.4,1.6,,0
03/12/2020,Jawa Tengah,0,0,0,0,3,9,9,-15,Jawa Tengah,Jawa,,6,576,753,7809,32801,36364072,1108.64,0,0.08,0,0.25,3,3,0,0
03/12/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
03/12/2020,Sulawesi Tenggara,0,0,0,0,1,0,0,1,Sulawesi Tenggara,Sulawesi,,2,219,377,1911,38068,2635461,69.23,0,0.38,0,0,0,0,1,1
3/13/2020,Bali,0,0,0,0,1,1,3,-3,Bali,Nusa Tenggara,,1,57,80,636,5780,4216171,729.43,0,0.24,0,0.24,1,3,1,1
3/13/2020,Banten,1,1,0,0,3,7,95,-99,Banten,Jawa,,4,155,313,1238,9663,10722374,1109.64,0.09,0.28,0.09,0.65,2.3333,31.6667,,1
3/13/2020,DKI Jakarta,4,1,3,0,51,26,48,-23,DKI Jakarta,Jawa,Daerah Khusus Ibu Kota,5,44,267,,664,10846145,16334.31,0.37,4.7,0.09,2.4,0.5098,0.9412,2,1
3/13/2020,Indonesia,35,3,0,32,69,4,2,63,,,,98,7230,8488,74953,1916907,265185520,138.34,0.13,0.26,0.01,0.02,0.058,0.029,,
3/13/2020,Jawa Barat,4,0,1,3,9,2,9,-2,Jawa Barat,Jawa,,9,627,645,5312,35378,45161325,1276.55,0.09,0.2,0,0.04,0.2222,1,4,1
3/13/2020,Jawa Tengah,0,0,0,0,3,9,9,-15,Jawa Tengah,Jawa,,6,576,753,7809,32801,36364072,1108.64,0,0.08,0,0.25,3,3,1,1
3/13/2020,Riau,0,0,0,0,2,0,3,-1,Riau,Sumatera,,2,169,268,1591,87024,6074100,69.8,0,0.33,0,0,0,1.5,1,1
