,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Increasing,New Cases EMA,New Cases Difference,New Deaths EMA,New Deaths Difference,New Recovered EMA,New Recovered Difference,New Cases Upper,New Cases Lower,New Deaths Upper,New Deaths Lower,New Recovered Upper,New Recovered Lower
25,2020-03-27,Indonesia,153.0,9.0,11.0,133,1046,87,46,913,1,79.28176858066186,73.71823141933814,7.705004006598248,1.294995993401752,2.456592540751627,8.543407459248373,13079.281768580662,-12920.718231419338,387.70500400659824,-372.29499599340176,9302.456592540751,-9297.543407459249
26,2020-03-28,Indonesia,109.0,15.0,13.0,81,1155,102,59,994,0,94.0254148645295,14.974585135470505,7.9640032052785985,7.0359967947214015,4.165274032601302,8.834725967398697,13094.025414864529,-12905.974585135471,387.9640032052786,-372.0359967947214,9304.1652740326,-9295.8347259674
27,2020-03-29,Indonesia,130.0,12.0,5.0,113,1285,114,64,1107,1,97.0203318916236,32.9796681083764,9.37120256422288,2.6287974357771198,5.932219226081042,-0.9322192260810418,13097.020331891623,-12902.979668108377,389.37120256422287,-370.62879743577713,9305.93221922608,-9294.06778077392
28,2020-03-30,Indonesia,129.0,8.0,11.0,110,1414,122,75,1217,0,103.61626551329888,25.383734486701115,9.896962051378305,-1.8969620513783045,5.745775380864834,5.254224619135166,13103.6162655133,-12896.3837344867,389.8969620513783,-370.1030379486217,9305.745775380865,-9294.254224619135
29,2020-03-31,Indonesia,114.0,14.0,6.0,94,1528,136,81,1311,0,108.69301241063911,5.306987589360887,9.517569641102645,4.482430358897355,6.796620304691867,-0.7966203046918672,13108.693012410638,-12891.306987589362,389.5175696411026,-370.4824303588974,9306.796620304693,-9293.203379695307
30,2020-04-01,Indonesia,149.0,21.0,22.0,106,1677,157,103,1417,1,109.7544099285113,39.24559007148871,10.414055712882117,10.585944287117883,6.637296243753494,15.362703756246507,13109.754409928511,-12890.245590071489,390.41405571288215,-369.58594428711785,9306.637296243753,-9293.362703756247
31,2020-04-02,Indonesia,113.0,13.0,9.0,91,1790,170,112,1508,0,117.60352794280904,-4.603527942809038,12.531244570305695,0.46875542969430484,9.709836995002796,-0.7098369950027958,13117.603527942809,-12882.396472057191,392.5312445703057,-367.4687554296943,9309.709836995004,-9290.290163004996
32,2020-04-03,Indonesia,196.0,11.0,22.0,163,1986,181,134,1671,1,116.68282235424724,79.31717764575276,12.624995656244556,-1.6249956562445558,9.567869596002238,12.432130403997762,13116.682822354247,-12883.317177645753,392.62499565624455,-367.37500434375545,9309.567869596001,-9290.432130403999
33,2020-04-04,Indonesia,106.0,10.0,16.0,80,2092,191,150,1751,0,132.5462578833978,-26.5462578833978,12.299996524995645,-2.2999965249956453,12.054295676801791,3.9457043231982087,13132.546257883398,-12867.453742116602,392.29999652499566,-367.70000347500434,9312.054295676802,-9287.945704323198
34,2020-04-05,Indonesia,181.0,7.0,14.0,160,2273,198,164,1911,1,127.23700630671824,53.76299369328176,11.839997219996517,-4.839997219996517,12.843436541441434,1.1565634585585656,13127.237006306717,-12872.762993693283,391.8399972199965,-368.1600027800035,9312.843436541441,-9287.156563458559
35,2020-04-06,Indonesia,218.0,11.0,28.0,179,2491,209,192,2090,1,137.98960504537462,80.01039495462538,10.871997775997215,0.12800222400278471,13.074749233153149,14.925250766846851,13137.989605045375,-12862.010394954625,390.8719977759972,-369.1280022240028,9313.074749233154,-9286.925250766846
36,2020-04-07,Indonesia,247.0,12.0,12.0,223,2738,221,204,2313,1,153.9916840362997,93.00831596370031,10.897598220797772,1.1024017792022285,16.05979938652252,-4.059799386522521,13153.9916840363,-12846.0083159637,390.89759822079776,-369.10240177920224,9316.059799386523,-9283.940200613477
37,2020-04-08,Indonesia,218.0,19.0,18.0,181,2956,240,222,2494,0,172.59334722903975,45.40665277096025,11.118078576638219,7.881921423361781,15.247839509218018,2.752160490781982,13172.59334722904,-12827.40665277096,391.1180785766382,-368.8819214233618,9315.247839509218,-9284.752160490782
38,2020-04-09,Indonesia,337.0,40.0,30.0,267,3293,280,252,2761,1,181.6746777832318,155.3253222167682,12.694462861310576,27.305537138689424,15.798271607374415,14.201728392625585,13181.674677783232,-12818.325322216768,392.69446286131057,-367.30553713868943,9315.798271607375,-9284.201728392625
39,2020-04-10,Indonesia,219.0,26.0,30.0,163,3512,306,282,2924,0,212.73974222658546,6.260257773414537,18.155570289048462,7.8444297109515375,18.638617285899535,11.361382714100465,13212.739742226586,-12787.260257773414,398.15557028904846,-361.84442971095154,9318.6386172859,-9281.3613827141
40,2020-04-11,Indonesia,330.0,21.0,4.0,305,3842,327,286,3229,1,213.9917937812684,116.0082062187316,19.724456231238772,1.2755437687612279,20.91089382871963,-16.91089382871963,13213.991793781268,-12786.008206218732,399.7244562312388,-360.2755437687612,9320.910893828719,-9279.089106171281
41,2020-04-12,Indonesia,399.0,46.0,73.0,280,4241,373,359,3509,1,237.19343502501474,161.80656497498526,19.97956498499102,26.02043501500898,17.528715062975706,55.47128493702429,13237.193435025014,-12762.806564974986,399.97956498499104,-360.02043501500896,9317.528715062976,-9282.471284937024
42,2020-04-13,Indonesia,316.0,26.0,21.0,269,4557,399,380,3778,0,269.5547480200118,46.4452519799882,25.183651987992818,0.8163480120071824,28.622972050380568,-7.622972050380568,13269.554748020011,-12730.445251979989,405.1836519879928,-354.8163480120072,9328.62297205038,-9271.37702794962
43,2020-04-14,Indonesia,282.0,60.0,46.0,176,4839,459,426,3954,0,278.84379841600946,3.156201583990537,25.346921590394256,34.65307840960574,27.098377640304456,18.901622359695544,13278.84379841601,-12721.15620158399,405.34692159039423,-354.65307840960577,9327.098377640305,-9272.901622359695
44,2020-04-15,Indonesia,297.0,10.0,20.0,267,5136,469,446,4221,1,279.47503873280755,17.524961267192452,32.277537272315406,-22.277537272315406,30.878702112243566,-10.878702112243566,13279.475038732808,-12720.524961267192,412.2775372723154,-347.7224627276846,9330.878702112244,-9269.121297887756
45,2020-04-16,Indonesia,380.0,27.0,102.0,251,5516,496,548,4472,1,282.98003098624605,97.01996901375395,27.822029817852325,-0.8220298178523251,28.702961689794854,73.29703831020515,13282.980030986246,-12717.019969013754,407.82202981785235,-352.17797018214765,9328.702961689794,-9271.297038310206
46,2020-04-17,Indonesia,407.0,24.0,59.0,324,5923,520,607,4796,1,302.38402478899684,104.61597521100316,27.65762385428186,-3.6576238542818587,43.36236935183589,15.637630648164112,13302.384024788997,-12697.615975211003,407.65762385428184,-352.34237614571816,9343.362369351837,-9256.637630648163
47,2020-04-18,Indonesia,325.0,15.0,24.0,286,6248,535,631,5082,0,323.3072198311975,1.6927801688025284,26.926099083425488,-11.926099083425488,46.48989548146871,-22.489895481468707,13323.307219831197,-12676.692780168803,406.92609908342547,-353.07390091657453,9346.489895481469,-9253.510104518531
48,2020-04-19,Indonesia,327.0,47.0,55.0,225,6575,582,686,5307,1,323.645775864958,3.3542241350419886,24.54087926674039,22.45912073325961,41.991916385174974,13.008083614825026,13323.645775864958,-12676.354224135042,404.5408792667404,-355.4591207332596,9341.991916385176,-9258.008083614824
49,2020-04-20,Indonesia,185.0,8.0,61.0,116,6760,590,747,5423,0,324.3166206919665,-139.31662069196648,29.032703413392312,-21.032703413392312,44.59353310813998,16.40646689186002,13324.316620691967,-12675.683379308033,409.0327034133923,-350.9672965866077,9344.59353310814,-9255.40646689186
50,2020-04-21,Indonesia,375.0,26.0,95.0,254,7135,616,842,5677,1,296.4532965535732,78.54670344642682,24.826162730713854,1.173837269286146,47.874826486511985,47.125173513488015,13296.453296553573,-12703.546703446427,404.82616273071386,-355.17383726928614,9347.874826486512,-9252.125173513488
51,2020-04-22,Indonesia,283.0,19.0,71.0,193,7418,635,913,5870,0,312.1626372428585,-29.162637242858523,25.060930184571085,-6.060930184571085,57.29986118920959,13.700138810790413,13312.162637242858,-12687.837362757142,405.0609301845711,-354.9390698154289,9357.299861189209,-9242.700138810791
52,2020-04-23,Indonesia,357.0,12.0,47.0,298,7775,647,960,6168,1,306.33010979428684,50.66989020571316,23.84874414765687,-11.84874414765687,60.03988895136767,-13.039888951367672,13306.330109794288,-12693.669890205712,403.8487441476569,-356.1512558523431,9360.039888951367,-9239.960111048633
53,2020-04-24,Indonesia,436.0,42.0,42.0,352,8211,689,1002,6520,1,316.4640878354295,119.5359121645705,21.4789953181255,20.5210046818745,57.43191116109414,-15.431911161094142,13316.46408783543,-12683.53591216457,401.4789953181255,-358.5210046818745,9357.431911161095,-9242.568088838905
54,2020-04-25,Indonesia,396.0,31.0,40.0,325,8607,720,1042,6845,0,340.3712702683436,55.62872973165639,25.5831962545004,5.4168037454996,54.34552892887532,-14.345528928875318,13340.371270268344,-12659.628729731656,405.5831962545004,-354.4168037454996,9354.345528928876,-9245.654471071124
55,2020-04-26,Indonesia,275.0,23.0,65.0,187,8882,743,1107,7032,0,351.4970162146749,-76.49701621467489,26.66655700360032,-3.666557003600321,51.476423143100256,13.523576856899744,13351.497016214675,-12648.502983785325,406.6665570036003,-353.3334429963997,9351.4764231431,-9248.5235768569
56,2020-04-27,Indonesia,214.0,22.0,44.0,148,9096,765,1151,7180,0,336.19761297173994,-122.19761297173994,25.93324560288026,-3.933245602880259,54.18113851448021,-10.18113851448021,13336.19761297174,-12663.80238702826,405.9332456028803,-354.0667543971197,9354.181138514481,-9245.818861485519
57,2020-04-28,Indonesia,415.0,8.0,103.0,304,9511,773,1254,7484,1,311.75809037739197,103.24190962260803,25.14659648230421,-17.14659648230421,52.14491081158417,50.85508918841583,13311.758090377392,-12688.241909622608,405.14659648230423,-354.85340351769577,9352.144910811585,-9247.855089188415
58,2020-04-29,Indonesia,260.0,11.0,137.0,112,9771,784,1391,7596,0,332.4064723019136,-72.4064723019136,21.717277185843372,-10.717277185843372,62.31592864926734,74.68407135073267,13332.406472301913,-12667.593527698087,401.7172771858434,-358.2827228141566,9362.315928649268,-9237.684071350732
59,2020-04-30,Indonesia,347.0,8.0,131.0,208,10118,792,1522,7804,1,317.9251778415309,29.07482215846909,19.573821748674696,-11.573821748674696,77.25274291941388,53.747257080586124,13317.925177841531,-12682.074822158469,399.5738217486747,-360.4261782513253,9377.252742919414,-9222.747257080586
60,2020-05-01,Indonesia,433.0,8.0,69.0,356,10551,800,1591,8160,1,323.7401422732247,109.2598577267753,17.25905739893976,-9.25905739893976,88.0021943355311,-19.0021943355311,13323.740142273226,-12676.259857726774,397.2590573989398,-362.7409426010602,9388.002194335531,-9211.997805664469
61,2020-05-02,Indonesia,292.0,31.0,74.0,187,10843,831,1665,8347,0,345.5921138185798,-53.592113818579776,15.407245919151809,15.592754080848191,84.20175546842488,-10.201755468424878,13345.59211381858,-12654.40788618142,395.4072459191518,-364.5927540808482,9384.201755468424,-9215.798244531576
62,2020-05-03,Indonesia,349.0,14.0,211.0,124,11192,845,1876,8471,1,334.8736910548638,14.126308945136202,18.525796735321446,-4.525796735321446,82.1614043747399,128.8385956252601,13334.873691054863,-12665.126308945137,398.5257967353214,-361.4742032646786,9382.16140437474,-9217.83859562526
63,2020-05-04,Indonesia,395.0,19.0,78.0,298,11587,864,1954,8769,1,337.69895284389105,57.30104715610895,17.62063738825716,1.3793626117428417,107.92912349979193,-29.929123499791928,13337.698952843892,-12662.301047156108,397.62063738825714,-362.37936261174286,9407.929123499793,-9192.070876500207
64,2020-05-05,Indonesia,484.0,8.0,243.0,233,12071,872,2197,9002,1,349.15916227511286,134.84083772488714,17.896509910605726,-9.896509910605726,101.94329879983354,141.05670120016646,13349.159162275113,-12650.840837724887,397.89650991060574,-362.10349008939426,9401.943298799833,-9198.056701200167
65,2020-05-06,Indonesia,367.0,23.0,120.0,224,12438,895,2317,9226,0,376.1273298200903,-9.127329820090324,15.917207928484581,7.082792071515419,130.15463903986685,-10.15463903986685,13376.12732982009,-12623.87267017991,395.9172079284846,-364.0827920715154,9430.154639039867,-9169.845360960133
66,2020-05-07,Indonesia,338.0,35.0,64.0,239,12776,930,2381,9465,0,374.30186385607226,-36.30186385607226,17.333766342787666,17.666233657212334,128.12371123189348,-64.12371123189348,13374.301863856072,-12625.698136143928,397.33376634278767,-362.66623365721233,9428.123711231894,-9171.876288768106
67,2020-05-08,Indonesia,336.0,13.0,113.0,210,13112,943,2494,9675,0,367.04149108485785,-31.041491084857853,20.867013074230133,-7.867013074230133,115.29896898551479,-2.29896898551479,13367.041491084858,-12632.958508915142,400.86701307423016,-359.13298692576984,9415.298968985515,-9184.701031014485
68,2020-05-09,Indonesia,533.0,16.0,113.0,404,13645,959,2607,10079,1,360.8331928678863,172.16680713211372,19.29361045938411,-3.2936104593841087,114.83917518841184,-1.8391751884118435,13360.833192867885,-12639.166807132115,399.2936104593841,-360.7063895406159,9414.839175188412,-9185.160824811588
69,2020-05-10,Indonesia,387.0,14.0,91.0,282,14032,973,2698,10361,0,395.26655429430906,-8.26655429430906,18.634888367507287,-4.634888367507287,114.47134015072947,-23.471340150729475,13395.266554294309,-12604.733445705691,398.6348883675073,-361.3651116324927,9414.471340150729,-9185.528659849271
70,2020-05-11,Indonesia,233.0,18.0,183.0,32,14265,991,2881,10393,0,393.6132434354473,-160.61324343544732,17.70791069400583,0.29208930599417116,109.77707212058358,73.22292787941642,13393.613243435448,-12606.386756564552,397.7079106940058,-362.2920893059942,9409.777072120583,-9190.222927879417
71,2020-05-12,Indonesia,484.0,16.0,182.0,286,14749,1007,3063,10679,1,361.4905947483579,122.50940525164208,17.766328555204666,-1.766328555204666,124.42165769646687,57.578342303533134,13361.490594748358,-12638.509405251642,397.76632855520467,-362.23367144479533,9424.421657696466,-9175.578342303534
72,2020-05-13,Indonesia,689.0,21.0,224.0,444,15438,1028,3287,11123,1,385.99247579868637,303.00752420131363,17.413062844163733,3.5869371558362673,135.9373261571735,88.06267384282651,13385.992475798686,-12614.007524201314,397.41306284416373,-362.58693715583627,9435.937326157173,-9164.062673842827
