,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Increasing,New Cases EMA,New Cases Difference,New Deaths EMA,New Deaths Difference,New Recovered EMA,New Recovered Difference
15,2020-03-17,Indonesia,38,0,1,37,172,5,9,158,1,15.421461387182081,22.57853861281792,0.5007360000000002,-0.5007360000000002,0.8728576000000002,0.12714239999999977
16,2020-03-18,Indonesia,55,14,2,39,227,19,11,197,1,19.937169109745668,35.06283089025433,0.4005888000000002,13.5994112,0.8982860800000003,1.1017139199999997
17,2020-03-19,Indonesia,82,6,4,72,309,25,15,269,1,26.949735287796535,55.050264712203465,3.1204710400000004,2.8795289599999996,1.1186288640000002,2.881371136
18,2020-03-20,Indonesia,60,7,2,51,369,32,17,320,0,37.95978823023724,22.040211769762763,3.696376832000001,3.303623167999999,1.6949030912000003,0.30509690879999973
19,2020-03-21,Indonesia,81,6,3,72,450,38,20,392,1,42.36783058418979,38.63216941581021,4.357101465600001,1.6428985343999987,1.7559224729600005,1.2440775270399995
20,2020-03-22,Indonesia,64,10,9,45,514,48,29,437,0,50.094264467351834,13.905735532648166,4.685681172480002,5.314318827519998,2.0047379783680004,6.995262021632
21,2020-03-23,Indonesia,65,1,1,63,579,49,30,500,1,52.875411573881465,12.124588426118535,5.7485449379840015,-4.7485449379840015,3.4037903826944005,-2.4037903826944005
22,2020-03-24,Indonesia,106,6,0,100,685,55,30,600,1,55.300329259105176,50.699670740894824,4.798835950387201,1.2011640496127987,2.9230323061555206,-2.9230323061555206
23,2020-03-25,Indonesia,105,3,1,101,790,58,31,701,0,65.44026340728415,39.55973659271585,5.039068760309761,-2.0390687603097613,2.3384258449244166,-1.3384258449244166
24,2020-03-26,Indonesia,103,20,4,79,893,78,35,780,0,73.35221072582732,29.64778927417268,4.631255008247809,15.368744991752191,2.0707406759395335,1.9292593240604665
25,2020-03-27,Indonesia,153,9,11,133,1046,87,46,913,1,79.28176858066186,73.71823141933814,7.705004006598248,1.294995993401752,2.456592540751627,8.543407459248373
26,2020-03-28,Indonesia,109,15,13,81,1155,102,59,994,0,94.0254148645295,14.974585135470505,7.9640032052785985,7.0359967947214015,4.165274032601302,8.834725967398697
27,2020-03-29,Indonesia,130,12,5,113,1285,114,64,1107,1,97.0203318916236,32.9796681083764,9.37120256422288,2.6287974357771198,5.932219226081042,-0.9322192260810418
28,2020-03-30,Indonesia,129,8,11,110,1414,122,75,1217,0,103.61626551329888,25.383734486701115,9.896962051378305,-1.8969620513783045,5.745775380864834,5.254224619135166
29,2020-03-31,Indonesia,114,14,6,94,1528,136,81,1311,0,108.69301241063911,5.306987589360887,9.517569641102645,4.482430358897355,6.796620304691867,-0.7966203046918672
30,2020-04-01,Indonesia,149,21,22,106,1677,157,103,1417,1,109.7544099285113,39.24559007148871,10.414055712882117,10.585944287117883,6.637296243753494,15.362703756246507
31,2020-04-02,Indonesia,113,13,9,91,1790,170,112,1508,0,117.60352794280904,-4.603527942809038,12.531244570305695,0.46875542969430484,9.709836995002796,-0.7098369950027958
32,2020-04-03,Indonesia,196,11,22,163,1986,181,134,1671,1,116.68282235424724,79.31717764575276,12.624995656244556,-1.6249956562445558,9.567869596002238,12.432130403997762
33,2020-04-04,Indonesia,106,10,16,80,2092,191,150,1751,0,132.5462578833978,-26.5462578833978,12.299996524995645,-2.2999965249956453,12.054295676801791,3.9457043231982087
34,2020-04-05,Indonesia,181,7,14,160,2273,198,164,1911,1,127.23700630671824,53.76299369328176,11.839997219996517,-4.839997219996517,12.843436541441434,1.1565634585585656
35,2020-04-06,Indonesia,218,11,28,179,2491,209,192,2090,1,137.98960504537462,80.01039495462538,10.871997775997215,0.12800222400278471,13.074749233153149,14.925250766846851
36,2020-04-07,Indonesia,247,12,12,223,2738,221,204,2313,1,153.9916840362997,93.00831596370031,10.897598220797772,1.1024017792022285,16.05979938652252,-4.059799386522521
37,2020-04-08,Indonesia,218,19,18,181,2956,240,222,2494,0,172.59334722903975,45.40665277096025,11.118078576638219,7.881921423361781,15.247839509218018,2.752160490781982
38,2020-04-09,Indonesia,337,40,30,267,3293,280,252,2761,1,181.6746777832318,155.3253222167682,12.694462861310576,27.305537138689424,15.798271607374415,14.201728392625585
39,2020-04-10,Indonesia,219,26,30,163,3512,306,282,2924,0,212.73974222658546,6.260257773414537,18.155570289048462,7.8444297109515375,18.638617285899535,11.361382714100465
40,2020-04-11,Indonesia,330,21,4,305,3842,327,286,3229,1,213.9917937812684,116.0082062187316,19.724456231238772,1.2755437687612279,20.91089382871963,-16.91089382871963
