,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Area (km2),Population,Population Density,Increasing
59,2020-03-14,Kalimantan Timur,3.0,0.0,0.0,3,3,0,2,1,129067,3552191,27.52,0
60,2020-03-14,Jawa Tengah,2.0,0.0,1.0,1,5,9,10,-14,32801,36364072,1108.64,0
61,2020-03-14,Riau,0.0,0.0,0.0,0,2,0,3,-1,87024,6074100,69.8,0
62,2020-03-14,Jawa Barat,0.0,0.0,0.0,0,9,2,9,-2,35378,45161325,1276.55,0
63,2020-03-14,Bali,0.0,0.0,0.0,0,1,1,3,-3,5780,4216171,729.43,0
64,2020-03-14,Sulawesi Tenggara,0.0,0.0,0.0,0,1,0,0,1,38068,2635461,69.23,0
65,2020-03-15,Jawa Barat,0.0,0.0,2.0,-2,9,2,11,-4,35378,45161325,1276.55,0
66,2020-03-15,Jawa Tengah,1.0,0.0,1.0,0,6,9,11,-14,32801,36364072,1108.64,0
67,2020-03-15,Riau,0.0,0.0,0.0,0,2,0,3,-1,87024,6074100,69.8,0
68,2020-03-15,Kalimantan Timur,2.0,0.0,0.0,2,5,0,2,3,129067,3552191,27.52,0
69,2020-03-15,Banten,1.0,0.0,5.0,-4,5,7,102,-104,9663,10722374,1109.64,1
70,2020-03-15,Bali,0.0,0.0,0.0,0,1,1,3,-3,5780,4216171,729.43,0
71,2020-03-15,Sulawesi Tenggara,0.0,0.0,0.0,0,1,0,0,1,38068,2635461,69.23,0
72,2020-03-15,DKI Jakarta,8.0,3.0,0.0,5,61,30,49,-18,664,10846145,16334.31,1
73,2020-03-16,DKI Jakarta,2.0,3.0,0.0,-1,63,33,49,-19,664,10846145,16334.31,0
74,2020-03-16,Daerah Istimewa Yogyakarta,1.0,0.0,0.0,1,1,0,1,0,3133,3631015,1158.9,0
75,2020-03-16,Jawa Tengah,1.0,0.0,0.0,1,7,9,11,-13,32801,36364072,1108.64,1
76,2020-03-16,Bali,0.0,0.0,0.0,0,1,1,3,-3,5780,4216171,729.43,0
77,2020-03-16,Sulawesi Tenggara,2.0,0.0,0.0,2,3,0,0,3,38068,2635461,69.23,0
78,2020-03-16,Jawa Barat,0.0,0.0,2.0,-2,9,2,13,-6,35378,45161325,1276.55,0
79,2020-03-16,Riau,0.0,0.0,0.0,0,2,0,3,-1,87024,6074100,69.8,0
80,2020-03-16,Banten,1.0,0.0,4.0,-3,6,7,106,-107,9663,10722374,1109.64,1
81,2020-03-16,Kalimantan Timur,1.0,0.0,0.0,1,6,0,2,4,129067,3552191,27.52,0
82,2020-03-17,Sumatera Utara,1.0,1.0,0.0,0,1,1,0,0,72981,14874889,203.82,0
83,2020-03-17,Jawa Barat,11.0,0.0,0.0,11,20,2,13,5,35378,45161325,1276.55,0
84,2020-03-17,Sulawesi Tenggara,0.0,0.0,0.0,0,3,0,0,3,38068,2635461,69.23,0
85,2020-03-17,Jawa Tengah,1.0,0.0,1.0,0,8,9,12,-13,32801,36364072,1108.64,1
86,2020-03-17,Daerah Istimewa Yogyakarta,0.0,0.0,0.0,0,1,0,1,0,3133,3631015,1158.9,0
87,2020-03-17,Kalimantan Timur,1.0,0.0,0.0,1,7,0,2,5,129067,3552191,27.52,1
88,2020-03-17,Banten,0.0,1.0,3.0,-4,6,8,109,-111,9663,10722374,1109.64,0
89,2020-03-17,Bali,0.0,0.0,0.0,0,1,1,3,-3,5780,4216171,729.43,0
90,2020-03-17,Riau,0.0,0.0,0.0,0,2,0,3,-1,87024,6074100,69.8,0
91,2020-03-17,DKI Jakarta,2.0,1.0,0.0,1,65,34,49,-18,664,10846145,16334.31,1
92,2020-03-18,Banten,0.0,1.0,1.0,-2,6,9,110,-113,9663,10722374,1109.64,0
93,2020-03-18,Kalimantan Timur,0.0,0.0,0.0,0,7,0,2,5,129067,3552191,27.52,0
94,2020-03-18,Daerah Istimewa Yogyakarta,0.0,0.0,0.0,0,1,0,1,0,3133,3631015,1158.9,0
95,2020-03-18,DKI Jakarta,1.0,1.0,0.0,0,66,35,49,-18,664,10846145,16334.31,0
96,2020-03-18,Sumatera Utara,0.0,0.0,0.0,0,1,1,0,0,72981,14874889,203.82,0
97,2020-03-18,Jawa Barat,4.0,1.0,2.0,1,24,3,15,6,35378,45161325,1276.55,0
98,2020-03-18,Riau,0.0,0.0,0.0,0,2,0,3,-1,87024,6074100,69.8,0
99,2020-03-18,Bali,0.0,0.0,0.0,0,1,1,3,-3,5780,4216171,729.43,0
100,2020-03-18,Jawa Timur,7.0,1.0,0.0,6,18,33,215,-230,47803,40479023,846.78,0
101,2020-03-18,Sulawesi Tenggara,0.0,0.0,0.0,0,3,0,0,3,38068,2635461,69.23,0
102,2020-03-18,Jawa Tengah,3.0,1.0,0.0,2,11,10,12,-11,32801,36364072,1108.64,1
103,2020-03-19,Jawa Tengah,2.0,0.0,0.0,2,13,10,12,-9,32801,36364072,1108.64,0
104,2020-03-19,Jawa Barat,5.0,1.0,1.0,3,29,4,16,9,35378,45161325,1276.55,1
105,2020-03-19,Kalimantan Timur,0.0,0.0,0.0,0,7,0,2,5,129067,3552191,27.52,0
106,2020-03-19,Daerah Istimewa Yogyakarta,0.0,0.0,0.0,0,1,0,1,0,3133,3631015,1158.9,0
107,2020-03-19,Sulawesi Tenggara,0.0,0.0,0.0,0,3,0,0,3,38068,2635461,69.23,0
108,2020-03-19,Banten,0.0,1.0,3.0,-4,6,10,113,-117,9663,10722374,1109.64,0
109,2020-03-19,Jawa Timur,3.0,0.0,0.0,3,21,33,215,-227,47803,40479023,846.78,0
110,2020-03-19,Sumatera Utara,0.0,0.0,0.0,0,1,1,0,0,72981,14874889,203.82,0
111,2020-03-19,Sulawesi Selatan,2.0,0.0,0.0,2,2,0,1,1,46717,9426885,201.78,0
112,2020-03-19,DKI Jakarta,2.0,0.0,1.0,1,68,35,50,-17,664,10846145,16334.31,1
113,2020-03-19,Kepulauan Riau,1.0,1.0,0.0,0,1,1,0,0,8202,1929400,235.24,0
114,2020-03-19,Bali,1.0,1.0,0.0,0,2,2,3,-3,5780,4216171,729.43,0
115,2020-03-19,Riau,0.0,0.0,0.0,0,2,0,3,-1,87024,6074100,69.8,0
116,2020-03-20,Daerah Istimewa Yogyakarta,1.0,0.0,1.0,0,2,0,2,0,3133,3631015,1158.9,0
117,2020-03-20,Jawa Barat,16.0,4.0,0.0,12,45,8,16,21,35378,45161325,1276.55,1
118,2020-03-20,Kalimantan Timur,0.0,0.0,0.0,0,7,0,2,5,129067,3552191,27.52,0
119,2020-03-20,Kepulauan Riau,0.0,0.0,0.0,0,1,1,0,0,8202,1929400,235.24,0
120,2020-03-20,Jawa Tengah,4.0,0.0,1.0,3,17,10,13,-6,32801,36364072,1108.64,1
121,2020-03-20,Bali,0.0,0.0,0.0,0,2,2,3,-3,5780,4216171,729.43,0
122,2020-03-20,Jambi,1.0,0.0,0.0,1,1,0,0,1,50058,3493357,69.79,0
123,2020-03-20,Jawa Timur,9.0,0.0,0.0,9,30,33,215,-218,47803,40479023,846.78,1
124,2020-03-20,Sulawesi Selatan,0.0,0.0,0.0,0,2,0,1,1,46717,9426885,201.78,0
125,2020-03-20,Banten,0.0,3.0,3.0,-6,6,13,116,-123,9663,10722374,1109.64,0
126,2020-03-20,Sumatera Utara,0.0,0.0,0.0,0,1,1,0,0,72981,14874889,203.82,0
127,2020-03-20,DKI Jakarta,5.0,3.0,1.0,1,73,38,51,-16,664,10846145,16334.31,1
128,2020-03-20,Sulawesi Tenggara,0.0,0.0,0.0,0,3,0,0,3,38068,2635461,69.23,0
129,2020-03-20,Riau,0.0,0.0,0.0,0,2,0,3,-1,87024,6074100,69.8,0
130,2020-03-21,Bali,0.0,0.0,0.0,0,2,2,3,-3,5780,4216171,729.43,0
131,2020-03-21,Riau,0.0,0.0,0.0,0,2,0,3,-1,87024,6074100,69.8,0
132,2020-03-21,Kepulauan Riau,0.0,0.0,0.0,0,1,1,0,0,8202,1929400,235.24,0
133,2020-03-21,DKI Jakarta,8.0,3.0,6.0,-1,81,41,57,-17,664,10846145,16334.31,1
134,2020-03-21,Banten,0.0,0.0,2.0,-2,6,13,118,-125,9663,10722374,1109.64,0
135,2020-03-21,Jawa Timur,9.0,1.0,0.0,8,39,34,215,-210,47803,40479023,846.78,1
136,2020-03-21,Sulawesi Tenggara,0.0,0.0,0.0,0,3,0,0,3,38068,2635461,69.23,0
137,2020-03-21,Kalimantan Timur,0.0,0.0,0.0,0,7,0,2,5,129067,3552191,27.52,0
138,2020-03-21,Sumatera Utara,0.0,0.0,0.0,0,1,1,0,0,72981,14874889,203.82,0
139,2020-03-21,Sulawesi Selatan,0.0,0.0,0.0,0,2,0,1,1,46717,9426885,201.78,0
140,2020-03-21,Jawa Tengah,1.0,1.0,0.0,0,18,11,13,-6,32801,36364072,1108.64,0
141,2020-03-21,Jambi,0.0,0.0,0.0,0,1,0,0,1,50058,3493357,69.79,0
142,2020-03-21,Daerah Istimewa Yogyakarta,0.0,0.0,0.0,0,2,0,2,0,3133,3631015,1158.9,0
143,2020-03-21,Jawa Barat,5.0,0.0,0.0,5,50,8,16,26,35378,45161325,1276.55,0
144,2020-03-22,Kalimantan Timur,0.0,0.0,0.0,0,7,0,2,5,129067,3552191,27.52,0
145,2020-03-22,Daerah Istimewa Yogyakarta,0.0,0.0,0.0,0,2,0,2,0,3133,3631015,1158.9,0
146,2020-03-22,Jawa Barat,3.0,3.0,1.0,-1,53,11,17,25,35378,45161325,1276.55,0
147,2020-03-22,Sulawesi Tenggara,0.0,0.0,0.0,0,3,0,0,3,38068,2635461,69.23,0
148,2020-03-22,Maluku,1.0,0.0,0.0,1,1,0,0,1,46914,1847097,39.37,0
149,2020-03-22,Papua,2.0,0.0,0.0,2,2,1,1,0,319036,4340348,13.6,0
150,2020-03-22,Banten,0.0,2.0,0.0,-2,6,15,118,-127,9663,10722374,1109.64,0
151,2020-03-22,Sumatera Utara,0.0,0.0,0.0,0,1,1,0,0,72981,14874889,203.82,0
152,2020-03-22,Jawa Timur,14.0,0.0,0.0,14,53,34,215,-196,47803,40479023,846.78,1
153,2020-03-22,Bali,0.0,0.0,0.0,0,2,2,3,-3,5780,4216171,729.43,0
154,2020-03-22,Jambi,0.0,0.0,0.0,0,1,0,0,1,50058,3493357,69.79,0
155,2020-03-22,DKI Jakarta,2.0,0.0,3.0,-1,83,41,60,-18,664,10846145,16334.31,0
156,2020-03-22,Jawa Tengah,1.0,0.0,1.0,0,19,11,14,-6,32801,36364072,1108.64,1
157,2020-03-22,Sulawesi Selatan,0.0,0.0,0.0,0,2,0,1,1,46717,9426885,201.78,0
158,2020-03-22,Riau,0.0,0.0,0.0,0,2,0,3,-1,87024,6074100,69.8,0
159,2020-03-22,Kepulauan Riau,0.0,0.0,0.0,0,1,1,0,0,8202,1929400,235.24,0
160,2020-03-23,Papua,0.0,0.0,0.0,0,2,1,1,0,319036,4340348,13.6,0
161,2020-03-23,Maluku,0.0,0.0,0.0,0,1,0,0,1,46914,1847097,39.37,0
162,2020-03-23,Sumatera Utara,0.0,0.0,0.0,0,1,1,0,0,72981,14874889,203.82,0
163,2020-03-23,Sumatera Selatan,1.0,2.0,0.0,-1,1,2,1,-2,91592,8217551,89.72,0
164,2020-03-23,Jambi,0.0,0.0,0.0,0,1,0,0,1,50058,3493357,69.79,0
165,2020-03-23,Daerah Istimewa Yogyakarta,0.0,1.0,0.0,-1,2,1,2,-1,3133,3631015,1158.9,0
166,2020-03-23,Maluku Utara,1.0,0.0,0.0,1,1,0,2,-1,31983,1307803,40.89,0
