,Date,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Area (km2),Population,Population Density,Increasing
74,2020-03-14,Kalimantan Timur,3,0,0,3,3,0,2,1,129067,3552191,27.52,0
75,2020-03-14,Banten,1,0,2,-1,4,7,97,-100,9663,10722374,1109.64,1
77,2020-03-14,DKI Jakarta,2,1,1,0,53,27,49,-23,664,10846145,16334.31,0
78,2020-03-15,Sulawesi Tenggara,0,0,0,0,1,0,0,1,38068,2635461,69.23,0
80,2020-03-15,Banten,1,0,5,-4,5,7,102,-104,9663,10722374,1109.64,1
81,2020-03-15,Bali,0,0,0,0,1,1,3,-3,5780,4216171,729.43,0
82,2020-03-15,DKI Jakarta,8,3,0,5,61,30,49,-18,664,10846145,16334.31,1
83,2020-03-15,Kalimantan Timur,2,0,0,2,5,0,2,3,129067,3552191,27.52,0
84,2020-03-15,Jawa Barat,0,0,2,-2,9,2,11,-4,35378,45161325,1276.55,0
85,2020-03-15,Jawa Tengah,1,0,1,0,6,9,11,-14,32801,36364072,1108.64,0
86,2020-03-15,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
87,2020-03-16,Banten,1,0,4,-3,6,7,106,-107,9663,10722374,1109.64,1
88,2020-03-16,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
89,2020-03-16,Jawa Barat,0,0,2,-2,9,2,13,-6,35378,45161325,1276.55,0
90,2020-03-16,Kalimantan Timur,1,0,0,1,6,0,2,4,129067,3552191,27.52,0
91,2020-03-16,Bali,0,0,0,0,1,1,3,-3,5780,4216171,729.43,0
92,2020-03-16,Sulawesi Tenggara,2,0,0,2,3,0,0,3,38068,2635461,69.23,0
94,2020-03-16,Jawa Tengah,1,0,0,1,7,9,11,-13,32801,36364072,1108.64,1
95,2020-03-16,Daerah Istimewa Yogyakarta,1,0,0,1,1,0,1,0,3133,3631015,1158.9,0
96,2020-03-16,DKI Jakarta,2,3,0,-1,63,33,49,-19,664,10846145,16334.31,0
97,2020-03-17,DKI Jakarta,2,1,0,1,65,34,49,-18,664,10846145,16334.31,1
99,2020-03-17,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
100,2020-03-17,Kalimantan Timur,1,0,0,1,7,0,2,5,129067,3552191,27.52,1
101,2020-03-17,Banten,0,1,3,-4,6,8,109,-111,9663,10722374,1109.64,0
102,2020-03-17,Bali,0,0,0,0,1,1,3,-3,5780,4216171,729.43,0
103,2020-03-17,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,1,0,3133,3631015,1158.9,0
104,2020-03-17,Sumatera Utara,1,1,0,0,1,1,0,0,72981,14874889,203.82,0
105,2020-03-17,Jawa Tengah,1,0,1,0,8,9,12,-13,32801,36364072,1108.64,1
106,2020-03-17,Sulawesi Tenggara,0,0,0,0,3,0,0,3,38068,2635461,69.23,0
107,2020-03-17,Jawa Barat,11,0,0,11,20,2,13,5,35378,45161325,1276.55,0
108,2020-03-18,Sulawesi Tenggara,0,0,0,0,3,0,0,3,38068,2635461,69.23,0
109,2020-03-18,Jawa Timur,7,1,0,6,18,33,215,-230,47803,40479023,846.78,0
110,2020-03-18,Bali,0,0,0,0,1,1,3,-3,5780,4216171,729.43,0
111,2020-03-18,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
112,2020-03-18,Jawa Tengah,3,1,0,2,11,10,12,-11,32801,36364072,1108.64,1
114,2020-03-18,Sumatera Utara,0,0,0,0,1,1,0,0,72981,14874889,203.82,0
115,2020-03-18,Jawa Barat,4,1,2,1,24,3,15,6,35378,45161325,1276.55,0
116,2020-03-18,DKI Jakarta,1,1,0,0,66,35,49,-18,664,10846145,16334.31,0
117,2020-03-18,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,1,0,3133,3631015,1158.9,0
118,2020-03-18,Kalimantan Timur,0,0,0,0,7,0,2,5,129067,3552191,27.52,0
119,2020-03-18,Banten,0,1,1,-2,6,9,110,-113,9663,10722374,1109.64,0
120,2020-03-19,Bali,1,1,0,0,2,2,3,-3,5780,4216171,729.43,0
121,2020-03-19,Jawa Timur,3,0,0,3,21,33,215,-227,47803,40479023,846.78,0
122,2020-03-19,Kepulauan Riau,1,1,0,0,1,1,0,0,8202,1929400,235.24,0
123,2020-03-19,DKI Jakarta,2,0,1,1,68,35,50,-17,664,10846145,16334.31,1
124,2020-03-19,Sulawesi Selatan,2,0,0,2,2,0,1,1,46717,9426885,201.78,0
126,2020-03-19,Sumatera Utara,0,0,0,0,1,1,0,0,72981,14874889,203.82,0
127,2020-03-19,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
128,2020-03-19,Banten,0,1,3,-4,6,10,113,-117,9663,10722374,1109.64,0
129,2020-03-19,Jawa Tengah,2,0,0,2,13,10,12,-9,32801,36364072,1108.64,0
130,2020-03-19,Sulawesi Tenggara,0,0,0,0,3,0,0,3,38068,2635461,69.23,0
131,2020-03-19,Daerah Istimewa Yogyakarta,0,0,0,0,1,0,1,0,3133,3631015,1158.9,0
132,2020-03-19,Kalimantan Timur,0,0,0,0,7,0,2,5,129067,3552191,27.52,0
133,2020-03-19,Jawa Barat,5,1,1,3,29,4,16,9,35378,45161325,1276.55,1
134,2020-03-20,Sulawesi Tenggara,0,0,0,0,3,0,0,3,38068,2635461,69.23,0
135,2020-03-20,DKI Jakarta,5,3,1,1,73,38,51,-16,664,10846145,16334.31,1
136,2020-03-20,Sumatera Utara,0,0,0,0,1,1,0,0,72981,14874889,203.82,0
138,2020-03-20,Banten,0,3,3,-6,6,13,116,-123,9663,10722374,1109.64,0
139,2020-03-20,Sulawesi Selatan,0,0,0,0,2,0,1,1,46717,9426885,201.78,0
140,2020-03-20,Jawa Timur,9,0,0,9,30,33,215,-218,47803,40479023,846.78,1
141,2020-03-20,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
142,2020-03-20,Bali,0,0,0,0,2,2,3,-3,5780,4216171,729.43,0
143,2020-03-20,Daerah Istimewa Yogyakarta,1,0,1,0,2,0,2,0,3133,3631015,1158.9,0
144,2020-03-20,Jawa Tengah,4,0,1,3,17,10,13,-6,32801,36364072,1108.64,1
145,2020-03-20,Kepulauan Riau,0,0,0,0,1,1,0,0,8202,1929400,235.24,0
146,2020-03-20,Kalimantan Timur,0,0,0,0,7,0,2,5,129067,3552191,27.52,0
147,2020-03-20,Jambi,1,0,0,1,1,0,0,1,50058,3493357,69.79,0
148,2020-03-20,Jawa Barat,16,4,0,12,45,8,16,21,35378,45161325,1276.55,1
149,2020-03-21,Daerah Istimewa Yogyakarta,0,0,0,0,2,0,2,0,3133,3631015,1158.9,0
150,2020-03-21,Jambi,0,0,0,0,1,0,0,1,50058,3493357,69.79,0
151,2020-03-21,Jawa Tengah,1,1,0,0,18,11,13,-6,32801,36364072,1108.64,0
152,2020-03-21,Sulawesi Selatan,0,0,0,0,2,0,1,1,46717,9426885,201.78,0
154,2020-03-21,Sumatera Utara,0,0,0,0,1,1,0,0,72981,14874889,203.82,0
155,2020-03-21,Kalimantan Timur,0,0,0,0,7,0,2,5,129067,3552191,27.52,0
156,2020-03-21,Jawa Barat,5,0,0,5,50,8,16,26,35378,45161325,1276.55,0
157,2020-03-21,Sulawesi Tenggara,0,0,0,0,3,0,0,3,38068,2635461,69.23,0
158,2020-03-21,Jawa Timur,9,1,0,8,39,34,215,-210,47803,40479023,846.78,1
159,2020-03-21,Banten,0,0,2,-2,6,13,118,-125,9663,10722374,1109.64,0
160,2020-03-21,DKI Jakarta,8,3,6,-1,81,41,57,-17,664,10846145,16334.31,1
161,2020-03-21,Kepulauan Riau,0,0,0,0,1,1,0,0,8202,1929400,235.24,0
162,2020-03-21,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
163,2020-03-21,Bali,0,0,0,0,2,2,3,-3,5780,4216171,729.43,0
164,2020-03-22,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
165,2020-03-22,Jawa Timur,14,0,0,14,53,34,215,-196,47803,40479023,846.78,1
166,2020-03-22,Sulawesi Selatan,0,0,0,0,2,0,1,1,46717,9426885,201.78,0
168,2020-03-22,Jawa Tengah,1,0,1,0,19,11,14,-6,32801,36364072,1108.64,1
169,2020-03-22,DKI Jakarta,2,0,3,-1,83,41,60,-18,664,10846145,16334.31,0
170,2020-03-22,Jambi,0,0,0,0,1,0,0,1,50058,3493357,69.79,0
171,2020-03-22,Bali,0,0,0,0,2,2,3,-3,5780,4216171,729.43,0
172,2020-03-22,Kepulauan Riau,0,0,0,0,1,1,0,0,8202,1929400,235.24,0
173,2020-03-22,Sumatera Utara,0,0,0,0,1,1,0,0,72981,14874889,203.82,0
174,2020-03-22,Kalimantan Timur,0,0,0,0,7,0,2,5,129067,3552191,27.52,0
175,2020-03-22,Banten,0,2,0,-2,6,15,118,-127,9663,10722374,1109.64,0
176,2020-03-22,Papua,2,0,0,2,2,1,1,0,319036,4340348,13.6,0
177,2020-03-22,Maluku,1,0,0,1,1,0,0,1,46914,1847097,39.37,0
178,2020-03-22,Sulawesi Tenggara,0,0,0,0,3,0,0,3,38068,2635461,69.23,0
179,2020-03-22,Daerah Istimewa Yogyakarta,0,0,0,0,2,0,2,0,3133,3631015,1158.9,0
180,2020-03-22,Jawa Barat,3,3,1,-1,53,11,17,25,35378,45161325,1276.55,0
181,2020-03-23,Kalimantan Timur,1,0,0,1,8,0,2,6,129067,3552191,27.52,0
182,2020-03-23,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
183,2020-03-23,Jawa Barat,6,4,0,2,59,15,17,27,35378,45161325,1276.55,1
184,2020-03-23,Kepulauan Riau,0,0,0,0,1,1,0,0,8202,1929400,235.24,0
185,2020-03-23,Sulawesi Selatan,0,1,0,-1,2,1,1,0,46717,9426885,201.78,0
186,2020-03-23,Jawa Tengah,3,0,0,3,22,11,14,-3,32801,36364072,1108.64,1
187,2020-03-23,Sulawesi Tenggara,0,0,0,0,3,0,0,3,38068,2635461,69.23,0
188,2020-03-23,Bali,0,0,0,0,2,2,3,-3,5780,4216171,729.43,0
189,2020-03-23,DKI Jakarta,0,0,0,0,83,41,60,-18,664,10846145,16334.31,0
190,2020-03-23,Banten,0,2,3,-5,6,17,121,-132,9663,10722374,1109.64,0
192,2020-03-23,Papua,0,0,0,0,2,1,1,0,319036,4340348,13.6,0
193,2020-03-23,Jawa Timur,2,1,0,1,55,35,215,-195,47803,40479023,846.78,0
194,2020-03-23,Maluku Utara,1,0,0,1,1,0,2,-1,31983,1307803,40.89,0
195,2020-03-23,Daerah Istimewa Yogyakarta,0,1,0,-1,2,1,2,-1,3133,3631015,1158.9,0
196,2020-03-23,Jambi,0,0,0,0,1,0,0,1,50058,3493357,69.79,0
197,2020-03-23,Sumatera Selatan,1,2,0,-1,1,2,1,-2,91592,8217551,89.72,0
198,2020-03-23,Sumatera Utara,0,0,0,0,1,1,0,0,72981,14874889,203.82,0
199,2020-03-23,Maluku,0,0,0,0,1,0,0,1,46914,1847097,39.37,0
200,2020-03-24,Jawa Tengah,3,1,1,1,25,12,15,-2,32801,36364072,1108.64,1
201,2020-03-24,Papua,0,0,0,0,2,1,1,0,319036,4340348,13.6,0
202,2020-03-24,Bali,0,0,0,0,2,2,3,-3,5780,4216171,729.43,0
203,2020-03-24,Jawa Timur,3,1,0,2,58,36,215,-193,47803,40479023,846.78,1
204,2020-03-24,Maluku Utara,0,0,0,0,1,0,2,-1,31983,1307803,40.89,0
205,2020-03-24,Kepulauan Riau,0,0,0,0,1,1,0,0,8202,1929400,235.24,0
206,2020-03-24,Banten,0,1,3,-4,6,18,124,-136,9663,10722374,1109.64,0
207,2020-03-24,Sumatera Selatan,0,0,0,0,1,2,1,-2,91592,8217551,89.72,0
208,2020-03-24,Daerah Istimewa Yogyakarta,0,0,0,0,2,1,2,-1,3133,3631015,1158.9,0
209,2020-03-24,Jambi,0,0,0,0,1,0,0,1,50058,3493357,69.79,0
210,2020-03-24,Kalimantan Timur,0,0,0,0,8,0,2,6,129067,3552191,27.52,0
211,2020-03-24,Maluku,0,0,0,0,1,0,0,1,46914,1847097,39.37,0
213,2020-03-24,Sulawesi Tenggara,0,0,0,0,3,0,0,3,38068,2635461,69.23,0
214,2020-03-24,Sulawesi Selatan,2,0,0,2,4,1,1,2,46717,9426885,201.78,0
215,2020-03-24,DKI Jakarta,16,19,3,-6,99,60,63,-24,664,10846145,16334.31,0
216,2020-03-24,Jawa Barat,2,2,2,-2,61,17,19,25,35378,45161325,1276.55,0
217,2020-03-24,Sumatera Utara,0,0,0,0,1,1,0,0,72981,14874889,203.82,0
218,2020-03-24,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
219,2020-03-25,Papua,0,0,0,0,2,1,1,0,319036,4340348,13.6,0
220,2020-03-25,Jawa Tengah,23,1,1,21,48,13,16,19,32801,36364072,1108.64,1
221,2020-03-25,Kalimantan Timur,0,0,0,0,8,0,2,6,129067,3552191,27.52,0
222,2020-03-25,Daerah Istimewa Yogyakarta,1,1,0,0,3,2,2,-1,3133,3631015,1158.9,0
223,2020-03-25,Bali,0,0,0,0,2,2,3,-3,5780,4216171,729.43,0
224,2020-03-25,Maluku,0,0,0,0,1,0,0,1,46914,1847097,39.37,0
225,2020-03-25,Sumatera Selatan,0,0,0,0,1,2,1,-2,91592,8217551,89.72,0
226,2020-03-25,Kepulauan Riau,0,0,0,0,1,1,0,0,8202,1929400,235.24,0
227,2020-03-25,DKI Jakarta,1,1,0,0,100,61,63,-24,664,10846145,16334.31,0
228,2020-03-25,Sumatera Utara,0,0,0,0,1,1,0,0,72981,14874889,203.82,0
230,2020-03-25,Jawa Barat,5,0,1,4,66,17,20,29,35378,45161325,1276.55,1
231,2020-03-25,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
232,2020-03-25,Sulawesi Selatan,9,0,0,9,13,1,1,11,46717,9426885,201.78,1
233,2020-03-25,Jambi,0,0,0,0,1,0,0,1,50058,3493357,69.79,0
234,2020-03-25,Banten,0,1,3,-4,6,19,127,-140,9663,10722374,1109.64,0
235,2020-03-25,Sulawesi Tenggara,0,0,0,0,3,0,0,3,38068,2635461,69.23,0
236,2020-03-25,Maluku Utara,0,0,0,0,1,0,2,-1,31983,1307803,40.89,0
237,2020-03-25,Jawa Timur,9,0,1,8,67,36,216,-185,47803,40479023,846.78,1
238,2020-03-26,Kalimantan Tengah,2,0,0,2,2,1,39,-38,153565,2570289,16.74,0
239,2020-03-26,Banten,0,0,4,-4,6,19,131,-144,9663,10722374,1109.64,0
240,2020-03-26,Lampung,2,0,0,2,2,1,0,1,34624,9095591,262.7,0
241,2020-03-26,Kalimantan Timur,0,0,0,0,8,0,2,6,129067,3552191,27.52,0
242,2020-03-26,Kepulauan Riau,0,0,0,0,1,1,0,0,8202,1929400,235.24,0
243,2020-03-26,Sulawesi Utara,1,0,1,0,1,0,1,0,13892,2641884,190.17,0
244,2020-03-26,Sumatera Barat,3,0,0,3,3,0,1,2,42013,5519245,131.37,0
245,2020-03-26,Sulawesi Selatan,14,0,0,14,27,1,1,25,46717,9426885,201.78,1
246,2020-03-26,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
247,2020-03-26,Sulawesi Tengah,1,0,0,1,1,0,0,1,61841,2955567,47.79,0
248,2020-03-26,Sumatera Utara,0,0,0,0,1,1,0,0,72981,14874889,203.82,0
250,2020-03-26,DKI Jakarta,57,2,0,55,157,63,63,31,664,10846145,16334.31,1
251,2020-03-26,Jawa Barat,5,1,0,4,71,18,20,33,35378,45161325,1276.55,1
252,2020-03-26,Papua,4,0,0,4,6,1,1,4,319036,4340348,13.6,0
253,2020-03-26,Sumatera Selatan,0,0,0,0,1,2,1,-2,91592,8217551,89.72,0
254,2020-03-26,Maluku,0,0,0,0,1,0,0,1,46914,1847097,39.37,0
255,2020-03-26,Bali,0,0,0,0,2,2,3,-3,5780,4216171,729.43,0
256,2020-03-26,Jawa Timur,13,1,0,12,80,37,216,-173,47803,40479023,846.78,1
257,2020-03-26,Jawa Tengah,4,0,1,3,52,13,17,22,32801,36364072,1108.64,0
258,2020-03-26,Daerah Istimewa Yogyakarta,0,0,0,0,3,2,2,-1,3133,3631015,1158.9,0
259,2020-03-26,Sulawesi Tenggara,0,0,0,0,3,0,0,3,38068,2635461,69.23,0
260,2020-03-26,Jambi,0,0,0,0,1,0,0,1,50058,3493357,69.79,0
261,2020-03-26,Maluku Utara,0,0,0,0,1,0,2,-1,31983,1307803,40.89,0
262,2020-03-26,Aceh,1,0,0,1,1,0,0,1,57956,5247257,90.54,0
263,2020-03-27,Papua,0,0,0,0,6,1,1,4,319036,4340348,13.6,0
264,2020-03-27,Bali,0,0,0,0,2,2,3,-3,5780,4216171,729.43,0
266,2020-03-27,Sulawesi Tenggara,0,0,0,0,3,0,0,3,38068,2635461,69.23,0
267,2020-03-27,Sulawesi Selatan,2,0,0,2,29,1,1,27,46717,9426885,201.78,0
268,2020-03-27,Sulawesi Tengah,0,0,0,0,1,0,0,1,61841,2955567,47.79,0
269,2020-03-27,Papua Barat,2,0,0,2,2,1,0,1,102955,1140701,11.08,0
270,2020-03-27,Sulawesi Utara,0,0,0,0,1,0,1,0,13892,2641884,190.17,0
271,2020-03-27,Kepulauan Riau,0,0,0,0,1,1,0,0,8202,1929400,235.24,0
272,2020-03-27,DKI Jakarta,74,7,6,61,231,70,69,92,664,10846145,16334.31,1
273,2020-03-27,Lampung,1,0,0,1,3,1,0,2,34624,9095591,262.7,0
274,2020-03-27,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
275,2020-03-27,Banten,25,2,3,20,31,21,134,-124,9663,10722374,1109.64,0
276,2020-03-27,Jambi,0,0,0,0,1,0,0,1,50058,3493357,69.79,0
277,2020-03-27,Jawa Tengah,8,1,1,6,60,14,18,28,32801,36364072,1108.64,1
278,2020-03-27,Kalimantan Tengah,0,0,0,0,2,1,39,-38,153565,2570289,16.74,0
279,2020-03-27,Kalimantan Timur,0,0,0,0,8,0,2,6,129067,3552191,27.52,0
280,2020-03-27,Daerah Istimewa Yogyakarta,1,0,0,1,4,2,2,0,3133,3631015,1158.9,0
281,2020-03-27,Sumatera Utara,0,1,0,-1,1,2,0,-1,72981,14874889,203.82,0
282,2020-03-27,Maluku,0,0,0,0,1,0,0,1,46914,1847097,39.37,0
283,2020-03-27,Sumatera Selatan,0,0,0,0,1,2,1,-2,91592,8217551,89.72,0
284,2020-03-27,Sumatera Barat,2,0,0,2,5,0,1,4,42013,5519245,131.37,0
285,2020-03-27,Jawa Barat,16,3,1,12,87,21,21,45,35378,45161325,1276.55,1
286,2020-03-27,Jawa Timur,3,1,0,2,83,38,216,-171,47803,40479023,846.78,0
287,2020-03-27,Maluku Utara,0,0,0,0,1,0,2,-1,31983,1307803,40.89,0
288,2020-03-27,Aceh,3,0,0,3,4,0,0,4,57956,5247257,90.54,1
289,2020-03-28,DKI Jakarta,48,9,9,30,279,79,78,122,664,10846145,16334.31,0
290,2020-03-28,Maluku Utara,0,0,0,0,1,0,2,-1,31983,1307803,40.89,0
291,2020-03-28,Kalimantan Utara,2,0,0,2,2,0,0,2,75468,648407,8.59,0
292,2020-03-28,Banten,10,2,7,1,41,23,141,-123,9663,10722374,1109.64,0
293,2020-03-28,Maluku,0,0,0,0,1,0,0,1,46914,1847097,39.37,0
294,2020-03-28,Jawa Barat,19,3,1,15,106,24,22,60,35378,45161325,1276.55,1
295,2020-03-28,Sumatera Utara,0,0,0,0,1,2,0,-1,72981,14874889,203.82,0
296,2020-03-28,Papua Barat,0,0,0,0,2,1,0,1,102955,1140701,11.08,0
297,2020-03-28,Kepulauan Riau,1,0,2,-1,2,1,2,-1,8202,1929400,235.24,0
298,2020-03-28,Jambi,0,0,0,0,1,0,0,1,50058,3493357,69.79,0
299,2020-03-28,Kalimantan Tengah,1,0,0,1,3,1,39,-37,153565,2570289,16.74,0
300,2020-03-28,Jawa Tengah,15,2,2,11,75,16,20,39,32801,36364072,1108.64,1
301,2020-03-28,Daerah Istimewa Yogyakarta,0,0,0,0,4,2,2,0,3133,3631015,1158.9,0
302,2020-03-28,Aceh,1,0,0,1,5,0,0,5,57956,5247257,90.54,0
303,2020-03-28,Sumatera Barat,0,0,0,0,5,0,1,4,42013,5519245,131.37,0
304,2020-03-28,Bali,0,0,0,0,2,2,3,-3,5780,4216171,729.43,0
305,2020-03-28,Sulawesi Utara,0,0,0,0,1,0,1,0,13892,2641884,190.17,0
306,2020-03-28,Jawa Timur,14,2,2,10,97,40,218,-161,47803,40479023,846.78,1
307,2020-03-28,Kalimantan Timur,5,0,0,5,13,0,2,11,129067,3552191,27.52,0
308,2020-03-28,Papua,0,0,0,0,6,1,1,4,319036,4340348,13.6,0
309,2020-03-28,Sulawesi Selatan,3,0,0,3,32,1,1,30,46717,9426885,201.78,1
310,2020-03-28,Sumatera Selatan,1,0,0,1,2,2,1,-1,91592,8217551,89.72,0
311,2020-03-28,Sulawesi Barat,1,0,0,1,1,0,0,1,16787,1559984,92.93,0
313,2020-03-28,Lampung,0,0,0,0,3,1,0,2,34624,9095591,262.7,0
314,2020-03-28,Sulawesi Tengah,1,0,0,1,2,0,0,2,61841,2955567,47.79,0
315,2020-03-28,Riau,0,0,0,0,2,0,3,-1,87024,6074100,69.8,0
316,2020-03-28,Sulawesi Tenggara,0,0,0,0,3,0,0,3,38068,2635461,69.23,0
317,2020-03-29,Papua,2,0,0,2,8,1,1,6,319036,4340348,13.6,0
318,2020-03-29,Maluku Utara,0,0,0,0,1,0,2,-1,31983,1307803,40.89,0
319,2020-03-29,Sulawesi Tengah,0,0,0,0,2,0,0,2,61841,2955567,47.79,0
320,2020-03-29,Maluku,0,0,0,0,1,0,0,1,46914,1847097,39.37,0
